DistrictName,DistrictType,Virtual,Hybrid,In_Person
North Penn SD,Regular local school district,2,7,0
North Pocono SD,Regular local school district,0,7,2
North Schuylkill SD,Regular local school district,0,9,0
North Star SD,Regular local school district,0,2,7
Northampton Area SD,Regular local school district,0,9,0
Northeast Bradford SD,Regular local school district,0,4,5
Northeastern York SD,Regular local school district,0,6,3
Northern Bedford County SD,Regular local school district,0,8,1
Northern Cambria SD,Regular local school district,0,6,3
Northern Lebanon SD,Regular local school district,0,1,8
Northern Lehigh SD,Regular local school district,0,9,0
Northern Potter SD,Regular local school district,0,6,3
Northern Tier Career Center,Specialized public school district,0,0,0
Northern Tioga SD,Regular local school district,0,9,0
Northern Westmoreland CTC,Specialized public school district,0,0,0
Northern York County SD,Regular local school district,0,7,2
Northgate SD,Regular local school district,4,5,0
Northumberland County CTC,Specialized public school district,0,0,0
Northwest Area SD,Regular local school district,3,6,0
Northwestern Lehigh SD,Regular local school district,0,0,0
Northwestern SD,Regular local school district,0,9,0
Northwood Academy CS,Charter agency,9,0,0
Norwin SD,Regular local school district,0,7,2
Octorara Area SD,Regular local school district,1,5,3
Oil City Area SD,Regular local school district,1,6,2
Old Forge SD,Regular local school district,0,9,0
Oley Valley SD,Regular local school district,1,7,1
Olney Charter High School,Charter agency,9,0,0
Oswayo Valley SD,Regular local school district,0,0,0
Otto-Eldred SD,Regular local school district,0,5,4
Owen J Roberts SD,Regular local school district,1,6,2
Oxford Area SD,Regular local school district,2,7,0
Palisades SD,Regular local school district,0,0,9
Palmerton Area SD,Regular local school district,1,7,1
Palmyra Area SD,Regular local school district,0,9,0
Pan American Academy CS,Charter agency,9,0,0
Panther Valley SD,Regular local school district,1,5,3
Parkland SD,Regular local school district,0,9,0
Parkway West CTC,Specialized public school district,0,0,0
Passport Academy CS,Charter agency,0,0,0
Pen Argyl Area SD,Regular local school district,0,7,2
Penn Cambria SD,Regular local school district,1,7,1
Penn Hills CS of Entrepreneurship,Charter agency,6,1,2
Penn Hills SD,Regular local school district,0,9,0
